asset_id,source_name,source_url,listing_url,listing_status,sale_method,auction_deadline,property_name,property_type,address,city,state,county,lat,lon,acreage,building_size,minimum_bid,current_bid,description,photos_url,terms_url,raw_text,raw_file_path,fetched_at
teoaf-fixture002,Treasury (TEOAF) Seized Real Property Auctions [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/teoaf/2,live (demo),online auction,2026-08-15,DEMO Forfeited Warehouse,warehouse,200 Fixture Way,Laredo,TX,Laredo County (demo),,,3.1,,410000,,"28,000 sf cross-dock warehouse.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
teoaf-fixture003,Treasury (TEOAF) Seized Real Property Auctions [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/teoaf/3,live (demo),online auction,2026-08-15,DEMO Seized Residential Land Assemblage,land,300 Fixture Way,San Juan,PR,San Juan County (demo),,,2.2,,120000,,Four contiguous residential lots.,,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
teoaf-fixture004,Treasury (TEOAF) Seized Real Property Auctions [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/teoaf/4,live (demo),online auction,2026-08-15,DEMO Forfeited Operating Car Wash,business,400 Fixture Way,Phoenix,AZ,Phoenix County (demo),,,0.8,,515000,,"Operating express car wash, equipment included.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
teoaf-fixture005,Treasury (TEOAF) Seized Real Property Auctions [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/teoaf/5,live (demo),online auction,2026-08-15,DEMO Seized Office Condo,office,500 Fixture Way,Newark,NJ,Newark County (demo),,,0.2,,230000,,"Suite 400, 3,200 sf.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
teoaf-fixture006,Treasury (TEOAF) Seized Real Property Auctions [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/teoaf/6,live (demo),online auction,2026-08-15,DEMO Forfeited Ranch Tract,land,600 Fixture Way,Las Cruces,NM,Las Cruces County (demo),,,160.0,,180000,,Grazing tract with well.,,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
teoaf-fixture007,Treasury (TEOAF) Seized Real Property Auctions [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/teoaf/7,live (demo),online auction,2026-08-15,DEMO Seized Mixed-Use Building,mixed-use,700 Fixture Way,Providence,RI,Providence County (demo),,,0.3,,460000,,"Retail ground floor, two flats above.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
usms-fixture001,USMS Forfeited Real Property Sales [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/usms/1,live (demo),online auction,2026-08-15,DEMO Forfeited Marina Slip Portfolio,special,100 Fixture Way,Fort Lauderdale,FL,Fort Lauderdale County (demo),,,,,75000,,"Six deeded slips, sold as lot.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
usms-fixture002,USMS Forfeited Real Property Sales [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/usms/2,live (demo),online auction,2026-08-15,DEMO Forfeited Duplex,residential,200 Fixture Way,Cleveland,OH,Cleveland County (demo),,,0.2,,88000,,"Two-unit rental, occupied.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
usms-fixture003,USMS Forfeited Real Property Sales [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/usms/3,live (demo),online auction,2026-08-15,DEMO Forfeited Commercial Lot,land,300 Fixture Way,Bakersfield,CA,Bakersfield County (demo),,,1.6,,140000,,"Corner lot, highway frontage.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
usms-fixture004,USMS Forfeited Real Property Sales [FIXTURE],https://example.invalid/fixture,https://example.invalid/fixture/usms/4,live (demo),online auction,2026-08-15,DEMO Forfeited Small Office,office,400 Fixture Way,Knoxville,TN,Knoxville County (demo),,,0.5,,265000,,"4,800 sf single-tenant office.",,https://example.invalid/fixture/terms,SYNTHETIC DEMO RECORD — pipeline test only; not a real record,data/fixtures/,2026-07-07T00:00:00Z
